TimeWindow,Average_Timestamp,TP_Overall,TP_Speed,TP_Throttle,TP_Brake,TP_Cruise,TP_RRCP,TP_DHCP,TP_MDNS,TP_SSDP,TP_Malicious,TP_ARP,TP_NBNS,TP_LLMNR,TP_Malformed,VehicleSpeed,ThrottleDemand,BrakePressed,CruiseDemand,Behaviour
0.54542,0.27271,40614.57225624289,13109.16358036009,12302.4458215687,12302.4458215687,2460.48916431374,440.02786843166734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.072727272727274,0.0,0.0,1546.909090909091,Cruising
0.5599989999999999,0.8300105,40028.642908290916,13232.166486011583,12200.021785753192,12200.021785753192,2396.4328507729483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.92982456140351,0.0,0.0,1556.0,Cruising
0.544867,1.3878955,40655.79306509662,13122.468418898558,12314.931900812491,12314.931900812491,2462.9863801624983,440.47446441058094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09090909090909,0.0,0.0,1546.909090909091,Cruising
0.5444909999999998,1.9381504999999999,40683.86805291549,13131.530181398779,12323.436016389622,12323.436016389622,2464.6872032779247,440.77863545953943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.90909090909091,0.0,0.0,1553.7272727272727,Cruising
0.5498030000000003,2.4906615,41542.152370940115,13004.658032058749,12426.269045458095,12426.269045458095,2440.8742767864114,0.0,1244.0819711787672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,Cruising
0.5454470000000002,3.0431095,40612.56180710498,13108.514667786232,12301.83684207631,12301.83684207631,2460.367368415262,440.00608675086653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.054545454545455,0.0,0.0,1556.0,Cruising
0.5600019999999999,3.600419,40028.42846989833,13232.095599658574,12199.956428727042,12199.956428727042,2396.4200127856693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.94736842105263,0.0,0.0,1546.909090909091,Cruising
0.5447060000000001,4.158108,40667.8097909698,13126.347056944476,12318.571853440202,12318.571853440202,2463.71437068804,440.60465645687754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,Cruising
0.5545290000000005,4.7132445,40409.06787562054,13128.258395863866,12320.365571503013,12320.365571503013,2640.0783367506456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,Cruising
0.5444149999999999,5.268129500000001,40689.547495936014,13133.363334955873,12325.15636049705,12325.15636049705,2465.03127209941,440.8401678866307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1544.6363636363637,Cruising
0.5600509999999996,5.8257265,40010.641887970945,12998.816179240828,12416.726333851746,12198.889029749085,2396.2103451292846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,Cruising
0.5502630000000002,6.3808845000000005,40257.11341667529,12993.786607494958,12194.168970110652,12194.168970110652,2438.8337940221304,436.1550749368937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.054545454545455,0.0,0.0,1546.909090909091,Cruising
0.5501129999999996,6.9310745,40268.09037415952,12997.329639546793,12197.493969420837,12197.493969420837,2439.4987938841673,436.27400188688534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.945454545454545,0.0,0.0,1556.0,Cruising
0.5599489999999996,7.4861065,40017.93020435793,13001.184036403325,12201.111172624658,12418.988157850099,2396.6468374798437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,Cruising
0.5454480000000004,8.04339,40612.48734984817,13108.490635220947,12301.81428843812,12301.81428843812,2460.362857687624,440.00528006336043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.036363636363635,0.0,0.0,1549.1818181818182,Cruising
0.5600310000000004,8.600713500000001,40026.35568388176,13231.410404066908,12199.324680240907,12199.324680240907,2396.2959193330353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.964912280701753,0.0,0.0,1556.0,Cruising
0.5446209999999994,9.1584635,40674.15689075527,13128.395710044248,12320.494435579987,12320.494435579987,2464.0988871159975,440.6734224350517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,Cruising
0.5545280000000012,9.713533,40409.140746725054,13128.2820705176,12320.387789254979,12320.387789254979,2640.0830976974953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,Cruising
0.5446200000000001,10.268519000000001,40674.23157430869,13128.419815651278,12320.517057765044,12320.517057765044,2464.1034115530088,440.67423157430864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1546.909090909091,Cruising
0.5600480000000001,10.826166,40010.85621232465,12998.885809787731,12416.792846327455,12198.954375339254,2396.223180870211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,Cruising
0.5500929999999986,11.381237500000001,40269.55442079804,12997.802189811573,12197.937439669324,12197.937439669324,2439.5874879338644,436.2898637139549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,Cruising
0.5501070000000006,11.9313395,40268.52957697317,12997.471401018334,12197.627007109513,12197.627007109513,2439.5254014219026,436.2787603139021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,Cruising
