DateTime,StatusType,Timestamp,TimeDelta,PacketLength,SourceIP,DestinationIP,SourcePort,DestinationPort,Payload
"Aug 20, 2021 14:45:35.121232000 BST",BRAKE,0.140237,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.131212000 BST",THROTTLE,0.150217,0.00998,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.131213000 BST",SPEED,0.150218,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.131214000 BST",BRAKE,0.150219,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.131243000 BST",CRUISE,0.150248,2.9e-05,122,172.16.0.100,172.16.0.101,28191,28191,1229
"Aug 20, 2021 14:45:35.141265000 BST",THROTTLE,0.16027,0.010022,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.141267000 BST",SPEED,0.160272,2e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.141269000 BST",BRAKE,0.160274,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.151223000 BST",THROTTLE,0.170228,0.009954,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.151224000 BST",SPEED,0.170229,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.151225000 BST",BRAKE,0.17023,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.161195000 BST",THROTTLE,0.1802,0.00997,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.161196000 BST",SPEED,0.180201,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.161196000 BST",BRAKE,0.180201,0.0,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.171226000 BST",THROTTLE,0.190231,0.01003,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.171227000 BST",SPEED,0.190232,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.171228000 BST",BRAKE,0.190233,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.181339000 BST",THROTTLE,0.200344,0.010111,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.181341000 BST",SPEED,0.200346,2e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.181342000 BST",BRAKE,0.200347,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.181344000 BST",CRUISE,0.200349,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,1229
"Aug 20, 2021 14:45:35.191254000 BST",THROTTLE,0.210259,0.00991,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.191256000 BST",SPEED,0.210261,2e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.191258000 BST",BRAKE,0.210263,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.201242000 BST",THROTTLE,0.220247,0.009984,122,172.16.0.100,172.16.0.101,28191,28191,0
