TP_Overall,TP_Speed,TP_Throttle,TP_Brake,TP_Cruise,TP_RRCP,TP_Malicious,TP_ARP,VehicleSpeed,ThrottleDemand,BrakePressed,CruiseDemand,Attack
39518.17413355875,13736.263736263736,12890.955198647503,11279.585798816568,1611.3693998309382,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
45524.330819037445,13016.487550897802,12215.472932381015,14251.385087777851,2035.912155396836,4005.0730925839393,0.0,0.0,18.0,0.0,0.0,1556.0,0
40987.59774296107,13032.394809956177,12230.401283189643,12230.401283189643,3494.400366625612,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40836.65338645419,14797.951052931136,12151.39442231076,12151.39442231076,1735.9134889015372,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
44308.892742135264,14088.432003963342,13221.451572950216,13221.451572950216,3777.5575922714897,0.0,0.0,0.0,18.285714285714285,0.0,0.0,1556.0,0
40883.96211590929,12999.44288101938,13942.25961744496,12199.47716526434,1742.78245218062,0.0,0.0,0.0,18.428571428571427,0.0,0.0,1531.0,0
40923.71487810108,13012.082648173298,12211.339100593405,12211.339100593405,3488.9540287409727,0.0,0.0,0.0,18.0,0.0,0.0,1531.0,0
41000.51572975759,13036.50220617729,12234.25591656638,13982.00676179015,1747.7508452237687,0.0,0.0,0.0,17.571428571428573,0.0,0.0,1531.0,0
43618.7399030695,13868.991373792189,13015.514981558825,13015.514981558825,3718.718566159664,0.0,0.0,0.0,17.714285714285715,0.0,0.0,1556.0,0
40978.34002027499,14849.293944629264,12193.554835301338,12193.554835301338,1741.9364050430484,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40808.760622825546,12975.531854217768,13916.61438430389,12177.037586265904,1739.5767980379862,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40890.38747285408,13001.48588410105,12201.394445079448,12201.394445079448,3486.112698594128,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40888.63490249302,13000.928637759836,12200.871490820768,13943.853132366592,1742.981641545824,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
43839.22553765088,13939.096869064391,13081.306292506584,13081.306292506584,3737.51608357331,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
41100.99100647305,14893.738901300338,12230.050982413932,12230.050982413932,1747.1501403448474,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
45815.75246132223,13713.080168776414,12869.198312236327,12869.198312236327,2144.866385372721,4219.409282700435,0.0,0.0,18.0,0.0,0.0,1556.0,0
44289.693593314834,14082.327452801012,13215.722686474795,13215.722686474795,3775.9207675642274,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40779.10605132304,12966.102902412287,13906.501574455377,12168.188877648454,1738.3126968069218,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40874.61974606889,12996.472386066627,12196.68947000099,12196.68947000099,3484.768420000283,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40832.04930662555,12982.936711750262,12183.98676025794,13924.556297437644,1740.5695371797055,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
43724.69635627528,13902.68123138033,13047.13161714154,13047.13161714154,3727.751890611869,0.0,0.0,0.0,18.714285714285715,0.0,0.0,1543.5,0
41149.31322226372,14911.249390646088,12244.42978808823,12244.42978808823,1749.2042554411755,0.0,0.0,0.0,18.0,0.0,0.0,1531.0,0
40909.67566717643,13007.61874812388,13951.028459526273,12207.14990208549,1743.878557440784,0.0,0.0,0.0,18.0,0.0,0.0,1531.0,0
40878.706507455885,12997.77181054677,12197.908929897738,12197.908929897738,3485.11683711364,0.0,0.0,0.0,17.714285714285715,0.0,0.0,1531.0,0
40758.77980005133,12959.639978353149,12162.123671992957,13899.569910849092,1737.4462388561365,0.0,0.0,0.0,17.571428571428573,0.0,0.0,1556.0,0
43897.72535546117,13957.697440066271,13098.76221298527,13098.76221298527,3742.503489424363,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40914.08043109473,14826.008239839204,12174.433689252575,12174.433689252575,1739.204812750368,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
44319.1848490948,14091.704476826091,13224.522662867565,13224.522662867565,3778.435046533589,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40944.20600858378,13018.597997138795,13962.80400572249,12217.45350500718,1745.3505007153112,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
41243.01444559917,13707.50297498,11026.255140313584,12863.964330365849,1837.709190052264,1807.5828098874729,0.0,0.0,18.0,0.0,0.0,1556.0,0
43398.08603312855,12399.453152322443,13575.81152831201,11636.409881410293,3878.803293803431,1907.608177280376,0.0,0.0,18.0,0.0,0.0,1556.0,0
40817.4907654348,12978.307685725247,12179.642597372926,13919.591539854771,1739.9489424818466,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
43752.7708559461,13911.607784385378,13055.508843807816,13055.508843807816,3730.1453839450905,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40984.191811729725,14851.414454424708,12195.296100075677,12195.296100075677,1742.1851571536677,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40876.95493822769,12997.214882525226,13939.870027851231,12197.386274369826,1742.483753481404,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
40834.37963702765,12983.67766236728,12184.68211391391,12184.68211391391,3481.3377468325457,0.0,0.0,0.0,18.0,0.0,0.0,1556.0,0
