TP_Overall,TP_Speed,TP_Throttle,TP_Brake,TP_Cruise,TP_RRCP,TP_Malicious,TP_ARP,Attack
42822.24347028077,13163.257720436502,12196.841330834835,12196.841330834835,2501.9161704276585,230.70948292878,0.0,0.0,0
40653.71044865684,13001.7939184014,12356.13521359276,12201.683523422853,2316.775352548643,227.87954287363695,0.0,0.0,0
42083.83526698576,13064.232476342017,12103.096635380363,12260.27970856712,2514.929170988128,231.90945224275765,0.0,0.0,0
45022.38614521279,13072.013386566765,12267.581793547271,12267.581793547271,2516.4270345738,0.0,0.0,0.0,0
40390.51843903969,12994.506120197282,12349.209321628576,12349.209321628576,2469.841864325715,227.75181125954344,0.0,0.0,0
40213.801910816816,13098.137797447382,12292.098548373697,12292.098548373697,2304.7684778200683,226.6985388019739,0.0,0.0,0
40961.23858320338,12998.946920755783,12199.011725632352,12199.011725632352,2470.685919115413,227.82964418072456,0.0,0.0,0
43641.36919829334,13162.903426328125,12196.51304819264,12196.51304819264,2501.8488303984905,230.7032732949428,0.0,0.0,0
40156.04291180074,13003.57598339543,12355.897871914774,12355.897871914774,2440.6711845757577,0.0,0.0,0.0,0
40209.49740017198,13096.735764540826,12290.782794415238,12137.148009485049,2458.156558883048,226.674272847822,0.0,0.0,0
40103.44251567776,13062.192363390186,12105.135576764867,12258.365141027713,2451.673028205543,226.07640628944557,0.0,0.0,0
40415.26872190925,13002.468823194286,12356.776603152504,12356.776603152504,2471.355320630501,227.89137177945196,0.0,0.0,0
40212.2825665335,13097.642928028448,12291.634132457468,12137.988705801748,2458.3268264914936,226.68997375433852,0.0,0.0,0
39857.76074921276,13065.06726090183,12109.691972117937,12261.063121769408,2421.938394423587,0.0,0.0,0.0,0
42608.97646190434,12994.13597966045,12350.836545558916,12194.496842450577,2501.435249733452,230.66513573361743,0.0,0.0,0
40122.642339251855,13068.445985850904,12110.931001118366,12264.233925183154,2452.846785036631,226.1846420628041,0.0,0.0,0
40974.56720439299,13003.176725453186,12357.449351550447,12202.981234656068,2317.0217534157086,227.90377902449595,0.0,0.0,0
40114.07321792004,13065.65491595266,12108.34443076459,12261.614613432495,2452.322922686499,226.13633508379604,0.0,0.0,0
40131.15475161068,12995.516546791354,12348.239857249246,12348.239857249246,2439.1584903208386,0.0,0.0,0.0,0
39918.63749051415,13001.999057355062,12201.876038440903,12049.352587960391,2440.375207688181,225.03459906960688,0.0,0.0,0
40104.80252812229,13062.635336438205,12105.546093518406,12258.780854195857,2451.756170839171,226.08407313066124,0.0,0.0,0
40412.96628032851,13001.728077782527,12356.07264256645,12356.07264256645,2471.21452851329,227.8783888997911,0.0,0.0,0
40199.92949589562,13093.619378556672,12287.858186030107,12134.25995870473,2457.571637206021,226.62033539809624,0.0,0.0,0
39847.872522532525,13061.825976287744,12106.687704517415,12258.021300823884,2421.3375409034834,0.0,0.0,0.0,0
40405.75366185841,12999.407621931145,12353.867418699898,12353.867418699898,2470.7734837399794,227.8377187874981,0.0,0.0,0
40216.84094384262,13099.1276484799,12293.02748549652,12139.364641927816,2458.605497099304,226.7156708390752,0.0,0.0,0
40114.87956741755,13065.91755406021,12108.587825580027,12261.861089194968,2452.372217838993,226.14088074334975,0.0,0.0,0
41181.46337863084,13068.834710417736,12264.598728238185,12264.598728238185,2483.969362681151,229.05455188658155,0.0,0.0,0
40132.55890673892,12995.97124891284,12348.671911707374,12348.671911707374,2439.243834411333,0.0,0.0,0.0,0
40214.81487079116,13098.46773116906,12292.408178481732,12138.75307625071,2458.4816356963465,226.70424919331063,0.0,0.0,0
40113.46847707003,13065.45794430092,12108.161891074256,12261.429763113169,2452.285952622634,226.13292595905435,0.0,0.0,0
40398.18573901775,12996.972856954835,12351.553562208295,12351.553562208295,2470.3107124416592,227.7950452046612,0.0,0.0,0
40220.89370246357,13100.447682606364,12294.266286753664,12140.587958169242,2458.8532573507327,226.73851758357168,0.0,0.0,0
39851.87666313109,13063.138502763364,12107.904253273546,12259.253056439466,2421.580850654709,0.0,0.0,0.0,0
40403.65685876186,12998.733034881408,12353.226331104435,12353.226331104435,2470.6452662208867,227.82589545069652,0.0,0.0,0
40220.184410742106,13100.21665742931,12294.049478510584,12140.373860029202,2458.8098957021166,226.7345190708919,0.0,0.0,0
40101.42785196746,13061.536162244336,12104.527454972202,12257.749321490835,2451.5498642981674,226.0650489619212,0.0,0.0,0
