TimeWindow,Average_Timestamp,TP_Overall,TP_Speed,TP_Throttle,TP_Brake,TP_Cruise,TP_RRCP,TP_DHCP,TP_MDNS,TP_SSDP,TP_Malicious,TP_ARP,TP_NBNS,TP_LLMNR,TP_Malformed,VehicleSpeed,ThrottleDemand,BrakePressed,CruiseDemand,Behaviour
0.794697,0.3973485,40332.35308551561,13086.7487860153,12281.41039918359,12281.41039918359,2456.2820798367175,226.50142129641864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0.0,0.0,10000.0,Cruising
0.7943929999999999,1.1972805,40347.787556033356,13091.756850828244,12286.110275392659,12286.110275392659,2457.222055078532,226.58809934125807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4875,0.0,0.0,10000.0,Cruising
0.7946930000000001,1.9972245,40332.55609398849,13086.814656729075,12281.472216314978,12281.472216314978,2456.2944432629956,226.50256136646476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.45,0.0,0.0,10000.0,Cruising
0.8046899999999999,2.802358,40072.57453180729,13085.78458785371,12280.505536293482,12280.505536293482,2425.7788713666137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.308641975308642,0.0,0.0,9929.6875,Cruising
0.7945360000000004,3.607488,40340.52579115356,13089.40060613993,12283.899030377474,12283.899030377474,2456.7798060754944,226.5473181831911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.125,0.0,0.0,9850.0,Cruising
0.7945860000000007,4.407559,40337.98732925067,13088.5769444717,12283.126055581135,12283.126055581135,2456.625211116227,226.53306250047174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0625,0.0,0.0,9814.0625,Cruising
0.7943110000000004,5.2075375,40351.95282452337,13093.108366873925,12287.378621220145,12287.378621220145,2457.475724244029,226.61149096512563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0625,0.0,0.0,9800.0,Cruising
0.7946879999999998,6.007451,40332.809857453496,13086.8969960538,12281.549488604336,12281.549488604336,2456.309897720867,226.50398647016192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,9632.8125,Cruising
0.8046289999999994,6.8127415,40075.61248724571,13086.77663867448,12281.436537832973,12281.436537832973,2425.9627729052786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.938271604938272,0.0,0.0,9256.25,Cruising
0.7946570000000008,7.6177785,40334.38326221246,13087.407522994185,12282.028598502235,12282.028598502235,2456.4057197004468,226.51282251336087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8125,0.0,0.0,8893.75,Cruising
0.7900299999999998,8.415522,41127.552118274,13164.057061124264,12199.536726453429,12199.536726453429,2470.7922483956313,227.83944913484305,865.7899067124035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6875,0.0,0.0,8582.8125,Cruising
0.7951130000000006,9.2127955,40311.25135672536,13079.901850428796,12274.984813479332,12274.984813479332,2454.9969626958664,226.38291664203686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.625,0.0,0.0,8323.4375,Cruising
0.7956649999999996,10.0128035,40283.28505086942,13070.827546769062,12266.468928506349,12266.468928506349,2453.29378570127,226.2258613863876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,8096.875,Cruising
0.8054249999999996,10.8179445,40036.00583542852,13073.843002141733,12269.298817394549,12269.298817394549,2423.565198497689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.358024691358025,0.0,0.0,7684.375,Cruising
0.7899790000000007,11.620348499999999,40408.66909120366,13000.345578806515,12354.758797385743,12354.758797385743,2470.9517594771487,227.85415814850757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.063291139240505,0.0,0.0,7195.3125,Cruising
0.7946690000000007,12.418049499999999,40180.251148591386,13087.209894937378,12281.843132172,12128.320093019849,2456.3686264344,226.5094020277623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.875,0.0,0.0,6804.6875,Cruising
0.7951770000000007,13.212974500000001,40154.581935845694,13078.849111581436,12120.571897829026,12273.996858561039,2454.799371712208,226.3646961619864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6875,0.0,0.0,6490.625,Cruising
0.7900290000000005,14.0102105,40406.111674381544,12999.522802327501,12353.976879329737,12353.976879329737,2470.7953758659473,227.8397375286222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.49367088607595,0.0,0.0,6089.0625,Cruising
0.8048979999999997,14.813092999999999,39910.64706335463,13082.402987707765,12277.332034618055,12125.760034190673,2425.1520068381346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5571.875,Cruising
0.7954019999999993,15.613244,40143.2231751995,13075.149421298927,12117.143281007602,12270.524841526685,2454.104968305337,226.30066306094298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.75,0.0,0.0,5218.75,Cruising
0.7899800000000035,16.410558,40408.6179396945,13000.329122256202,12354.74315805458,12354.74315805458,2470.948631610916,227.85386971821973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.430379746835442,0.0,0.0,4984.375,Cruising
0.7944510000000022,17.2081905,40191.27674331068,13090.80106891422,12285.21331082719,12131.648144441851,2457.0426621654383,226.57155696197688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25,0.0,0.0,4846.875,Cruising
