DateTime,StatusType,Timestamp,TimeDelta,PacketLength,SourceIP,DestinationIP,SourcePort,DestinationPort,Payload
2021-08-25 17:18:25.962604+01:00,BRAKE,0.15465,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.968068+01:00,SPEED,0.160114,0.005464,130,172.16.0.101,172.16.0.100,28091,28091,30
2021-08-25 17:18:25.972671+01:00,THROTTLE,0.164717,0.004603,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.972673+01:00,BRAKE,0.164719,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.978000+01:00,SPEED,0.170046,0.005327,130,172.16.0.101,172.16.0.100,28091,28091,30
2021-08-25 17:18:25.982566+01:00,THROTTLE,0.174612,0.004566,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.982568+01:00,BRAKE,0.174614,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.988001+01:00,SPEED,0.180047,0.005433,130,172.16.0.101,172.16.0.100,28091,28091,30
2021-08-25 17:18:25.992601+01:00,THROTTLE,0.184647,0.0046,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.992602+01:00,BRAKE,0.184648,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.992603+01:00,CRUISE,0.184649,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,10000
2021-08-25 17:18:25.997845+01:00,SPEED,0.189891,0.005242,130,172.16.0.101,172.16.0.100,28091,28091,30
2021-08-25 17:18:26.002739+01:00,THROTTLE,0.194785,0.004894,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.002740+01:00,BRAKE,0.194786,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.008079+01:00,SPEED,0.200125,0.005339,130,172.16.0.101,172.16.0.100,28091,28091,30
2021-08-25 17:18:26.012624+01:00,THROTTLE,0.20467,0.004545,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.012625+01:00,BRAKE,0.204671,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.017830+01:00,SPEED,0.209876,0.005205,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:26.022383+01:00,THROTTLE,0.214429,0.004553,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.022384+01:00,BRAKE,0.21443,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.027955+01:00,SPEED,0.220001,0.005571,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:26.032504+01:00,THROTTLE,0.22455,0.004549,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.032505+01:00,BRAKE,0.224551,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.037813+01:00,SPEED,0.229859,0.005308,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:26.042477+01:00,THROTTLE,0.234523,0.004664,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.042479+01:00,BRAKE,0.234525,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.042604+01:00,CRUISE,0.23465,0.000125,122,172.16.0.100,172.16.0.101,28191,28191,10000
2021-08-25 17:18:26.047852+01:00,SPEED,0.239898,0.005248,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:26.052506+01:00,THROTTLE,0.244552,0.004654,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.052507+01:00,BRAKE,0.244553,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:26.057989+01:00,SPEED,0.250035,0.005482,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:26.062593+01:00,THROTTLE,0.254639,0.004604,122,172.16.0.100,172.16.0.101,28191,28191,0
